Loại hình nhà ở,Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
Chung cư,56 m²,,"2,17 tỷ",,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,01/11/2023,11/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,"67,9 m²",,"2,05 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,,,Đông - Nam,,27/10/2023,06/11/2023,Tin thường,"Dự án Căn hộ Terra Mia, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,50 m²,,"1,35 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Full nội thất.,,,,31/10/2023,10/11/2023,Tin thường,"Sài Gòn Intela, 13E, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,72 m²,,Thỏa thuận,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,27/10/2023,06/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,56 m²,,"2,4 tỷ",,2 phòng,1 phòng,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,70 m²,,"1,7 tỷ",,2 phòng,2 phòng,Sổ hồng.,"Hệ thống gas trung tâm tủ bếp gỗ, 2 máy nước nóng, hệ thống vệ sinh cao cấp xuất xứ từ Italy.",Đông - Bắc,Nam,,24/10/2023,03/11/2023,Tin thường,"Dự án Terra Rosa, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,78 m²,,"2,85 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Đông - Nam,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,90 m²,,Thỏa thuận,,3 phòng,2 phòng,,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
Chung cư,83 m²,,"3,8 tỷ",,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Nam,Bắc,,28/10/2023,07/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,85 m²,,"3,8 tỷ",,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,31/10/2023,15/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
Chung cư,72 m²,,"2,75 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,Tây,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,71 m²,,"3,12 tỷ",,2 phòng,2 phòng,,,,,,27/10/2023,06/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,45 m²,,"1,3 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,59 m²,,"2,47 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Westgate, Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
Chung cư,65 m²,,"1,97 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,55 m²,,"1,3 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Nam,,,31/10/2023,10/11/2023,Tin thường,"Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,85 m²,,"3,29 tỷ",,3 phòng,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
Chung cư,150 m²,,"5,2 tỷ",,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây,Đông,,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Đường 14, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,50 m²,,"1,32 tỷ",,2 phòng,2 phòng,Đang chờ sổ,Cơ bản,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,72 m²,,"2,88 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,,31/10/2023,15/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,57 m²,,"1,5 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,15/11/2023,Tin thường,"Dự án Skyway Residence, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,79 m²,,"3,43 tỷ",,2 phòng,2 phòng,Đang chờ sổ,Cơ bản,Tây - Nam,Đông - Bắc,,14/10/2023,13/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,66 m²,,"2,4 tỷ",,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,"Có nội thất dính tường, sàn gỗ, tủ âm, máy lạnh, máy nước nóng.",Tây,Đông,,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Đường 14, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,"98,5 m²",,"3,1 tỷ",,4 phòng,3 phòng,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Hoàng Tháp Plaza, Đường 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,35 m²,,Thỏa thuận,,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án The 5Way Phú Quốc, Xã Gành Dầu, Phú Quốc, Kiên Giang"
Chung cư,55 m²,,"1,32 tỷ",,2 phòng,2 phòng,,Cơ bản liền tường mới,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,50 m²,,"1,28 tỷ",,2 phòng,2 phòng,Đang chờ sổ,Không nội thất,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,75 m²,,"3,4 tỷ",,2 phòng,,,,,,,01/11/2023,11/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh."
Chung cư,73 m²,,"1,6 tỷ",,2 phòng,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Conic Đông Nam Á, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,55 m²,,"1,29 tỷ",,1 phòng,1 phòng,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Conic Đình Khiêm, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,40 m²,,"1,17 tỷ",,1 phòng,1 phòng,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án EhomeS Nam Sài Gòn, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,55 m²,,"1,45 tỷ",,2 phòng,2 phòng,,,Nam,Nam,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,50 m²,,"1,43 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Nam,,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,50 m²,,"1,37 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,60 m²,,"2,8 tỷ",,2 phòng,2 phòng,,Giao nhà hoàn thiện.,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,"65,58 m²",,"2,05 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Đông - Bắc,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,52 m²,,"1,7 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,65 m²,,2 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,"82,8 m²",,"2,3 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,"65,6 m²",,2 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,Đông - Nam,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,52 m²,,"1,67 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,56 m²,,"2,17 tỷ",,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,98 m²,,"3,2 tỷ",,3 phòng,,,,,,,17/10/2023,16/11/2023,Tin thường,"Dự án Hoàng Tháp Plaza, Đường 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,83 m²,,"2,3 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,56 m²,,"2,25 tỷ",,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,79 m²,,"3,25 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Tây - Nam,Đông - Bắc,,25/10/2023,04/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,72 m²,,"2,95 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,71 m²,,"3,34 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,,Đông,,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,86 m²,,"3,4 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,Bắc,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,70 m²,,"3,5 tỷ",,1 phòng,1 phòng,,,Nam,Bắc,,31/10/2023,10/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,"104,8 m²",,"2,45 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Skyway Residence, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,40 m²,,"1,18 tỷ",,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án EhomeS Nam Sài Gòn, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,65 m²,,"1,9 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Lovera Vista, Đường Số 19, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,68 m²,,"2,2 tỷ",,2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Đông - Nam,Tây - Bắc,,07/10/2023,06/11/2023,Tin thường,"Dự án Căn hộ Terra Mia, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,55 m²,,"2,8 tỷ",,2 phòng,1 phòng,Đang chờ sổ,Đầy đủ,Đông - Nam,Tây - Bắc,,26/10/2023,05/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,"59,9 m²",,"2,1 tỷ",,2 phòng,2 phòng,,Cơ bản,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Căn hộ Terra Mia, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,107 m²,,"2,45 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,30/10/2023,14/11/2023,Tin thường,"Dự án Skyway Residence, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,79 m²,,"1,78 tỷ",,2 phòng,2 phòng,Sổ hồng,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Skyway Residence, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,57 m²,,"1,53 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Skyway Residence, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,68 m²,,"2,1 tỷ",,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Bắc,,30/10/2023,09/11/2023,Tin thường,"Dự án Căn hộ Terra Mia, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,83 m²,,"4,2 tỷ",,3 phòng,2 phòng,Hợp đồng mua bán,,Bắc,Nam,,27/10/2023,06/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Bình Chánh, Hồ Chí Minh"
Chung cư,65 m²,,"1,95 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Nam,,,30/10/2023,09/11/2023,Tin thường,"Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,70 m²,,"2,4 tỷ",,2 phòng,,,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Hoàng Tháp Plaza, Đường Nguyễn Văn Cừ, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,110 m²,,"3,1 tỷ",,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,Đông,,30/10/2023,09/11/2023,Tin thường,"Dự án Chung cư Sinh Lợi, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,100 m²,,3 tỷ,,3 phòng,2 phòng,Sổ hồng,,Đông - Nam,Đông - Nam,,30/10/2023,09/11/2023,Tin thường,"Dự án Hoàng Tháp Plaza, Đường 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,"41,5 m²",,560 triệu,,2 phòng,1 phòng,Hợp đồng mua bán.,Đầy đủ.,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Amazing City, Phố Trần Đại Nghĩa, Xã Tân Nhựt, Bình Chánh, Hồ Chí Minh"
Chung cư,74 m²,,"1,8 tỷ",,2 phòng,1 phòng,Đang chờ sổ,,Đông - Nam,Tây,,27/10/2023,06/11/2023,Tin thường,"Dự án Hồng Lĩnh Plaza, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,101 m²,,"3,1 tỷ",,3 phòng,2 phòng,,,Đông,Tây,,27/10/2023,06/11/2023,Tin thường,"Dự án Hoàng Tháp Plaza, Đường Nguyễn Văn Cừ, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,50 m²,,"1,32 tỷ",,2 phòng,2 phòng,Hợp Đồng Mua Bán,Nội thất đầy đủ,Tây - Nam,Đông - Bắc,,30/10/2023,09/11/2023,Tin thường,"Dự án Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,"193,6 m²",,Thỏa thuận,,4 phòng,3 phòng,,Cơ bản,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Conic Garden, Huyện Bình Chánh, Hồ Chí Minh"
Chung cư,80 m²,,"1,6 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,82 m²,,Thỏa thuận,,2 phòng,2 phòng,,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,57 m²,,"1,55 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Skyway Residence, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,55 m²,,"1,29 tỷ",,1 phòng,1 phòng,,Đầy đủ,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Conic Đình Khiêm, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
Chung cư,"85,5 m²",,"3,85 tỷ",,3 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Đông - Nam,,28/10/2023,07/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
Chung cư,55 m²,,"2,85 tỷ",,2 phòng,1 phòng,,,,,,30/10/2023,29/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Chung cư,58 m²,,"2,5 tỷ",,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
