Loại hình nhà ở,Diện tích (m²),Chiều rộng (m),Chiều dài (m),Mặt tiền (m),Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào (m),Ngày đăng,Ngày hết hạn,Loại tin,Tên dự án,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Tỉnh thành,Mức giá (tỷ)
"Nhà ngõ, hẻm",40,,,,1,2,,Đã có sổ,Có nội thất,Tây,,,10/27/2023,,,,Liên khu 4-5,Phường Bình Hưng Hoà B,Bình Tân,TP Hồ Chí Minh,0.98
"Nhà ngõ, hẻm",50,,,,4,4,5,Đã có sổ,,Đông,,,11/09/2023,,,,liên khu 4 5,Phường Bình Hưng Hoà B,Bình Tân,TP Hồ Chí Minh,4.55
Nhà phố liền kề,55,,,,4,5,5,Đã có sổ,,Bắc,,,10/26/2023,,,,Hương Lộ 2,Phường Bình Trị Đông A,Bình Tân,TP Hồ Chí Minh,5
"Nhà ngõ, hẻm",42,,,,4,4,4,Đã có sổ,Có nội thất,,,,10/09/2023,,,,Tân Kỳ Tân Quý,Phường Bình Hưng Hòa,Bình Tân,TP Hồ Chí Minh,3.89
"Nhà ngõ, hẻm",70,,,,2,3,2,Đã có sổ,Có nội thất,,,,10/09/2023,,,,Bành Văn Trân,Phường 7,Tân Bình,TP Hồ Chí Minh,7.8
"Nhà ngõ, hẻm",44,3.8,12,,,4,,,,,,,10/09/2023,,,,quang trung,Phường 8,Gò Vấp,TP Hồ Chí Minh,4.35
Nhà phố liền kề,126,7,18,,5,5,5,,,,,,11/11/2023,,,,Nguyễn Xiển,Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,15.5
Nhà mặt phố,42,,,,1,2,2,Đã có sổ,Không có nội thất,,,,11/13/2023,,,,Đường Lê Lợi,Phường 4,Gò Vấp,TP Hồ Chí Minh,2.245
"Nhà ngõ, hẻm",27,,,,1,3,3,Đã có sổ,Có nội thất,,,,11/11/2023,,,,Hẻm 25 Bùi Quang Là,Phường 12,Gò Vấp,TP Hồ Chí Minh,1.9
Nhà mặt phố,96,,,,3,3,3,Đã có sổ,Có nội thất,,,,11/01/2023,,,,Tân Hòa Đông,Phường Bình Trị Đông,Bình Tân,TP Hồ Chí Minh,7.5
"Nhà ngõ, hẻm",60,,,,2,2,2,Đã có sổ,Không có nội thất,,,,10/31/2023,,,,Đường Hiệp Bình,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,3.85
Nhà mặt phố,250,12.5,20,,,3,,,,,,,11/06/2023,,,,Đường Huỳnh Thị Na,Xã Đông Thạnh,Hóc Môn,TP Hồ Chí Minh,8.95
"Nhà ngõ, hẻm",43,,,,2,2,2,Đã có sổ,,Tây,,,11/06/2023,,,,Đường Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,4.2
"Nhà ngõ, hẻm",18,,,,,1,1,Giấy tờ khác,,Tây Nam,,,11/01/2023,,,,Hẻm 558 Bình Quới,Phường 28,Bình Thạnh,TP Hồ Chí Minh,0.85
"Nhà ngõ, hẻm",26,,,,,3,3,,,,,,11/12/2023,,,,Tôn Đản,Phường 14,Quận 4,TP Hồ Chí Minh,3.2
Nhà biệt thự,170,8.5,,,,4,4,Đã có sổ,Bàn giao thô,,,,10/23/2023,,,,Tô Ngọc Vân,Phường Tam Bình,TP Thủ Đức,TP Hồ Chí Minh,13.5
"Nhà ngõ, hẻm",42,,,,4,4,3,Đã có sổ,Có nội thất,,,,10/23/2023,,,,Đường Hòa Bình,Phường Hiệp Tân,Tân Phú,TP Hồ Chí Minh,4.15
Nhà biệt thự,270,,,,4,6,4,Đã có sổ,,Đông,,,10/21/2023,,,,Đường D20,Phường Phước Long B,TP Thủ Đức,TP Hồ Chí Minh,30.5
Nhà mặt phố,200,,,,4,4,5,Đã có sổ,Có nội thất,,,,11/12/2023,,,,Đường Đặng Thùy Trâm,Phường 13,Bình Thạnh,TP Hồ Chí Minh,32
Nhà biệt thự,140,,,,3,4,5,Đã có sổ,,Đông Nam,,,11/12/2023,,,,Đường Phan Đăng Lưu,Phường 6,Bình Thạnh,TP Hồ Chí Minh,29
Nhà mặt phố,115,,,,4,,Nhiều hơn 6 phòng,Đã có sổ,Có nội thất,,,,10/17/2023,,,,Nguyễn Oanh,Phường 17,Gò Vấp,TP Hồ Chí Minh,13
"Nhà ngõ, hẻm",67.5,4.5,,,2,4,3,Đã có sổ,,,,,10/20/2023,,,,Đường Võ Oanh,Phường 25,Bình Thạnh,TP Hồ Chí Minh,3.05
Nhà mặt phố,65,,,,1,2,2,Đã có sổ,,Đông,,,10/30/2023,,,,Đường Tân Thới Nhất 05,Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,4.75
Nhà mặt phố,90,,,,4,4,5,Đã có sổ,Có nội thất,,,,09/24/2023,,,,Huỳnh Thị Hai,Phường Tân Chánh Hiệp,Quận 12,TP Hồ Chí Minh,7.9
"Nhà ngõ, hẻm",84,,,,2,4,3,Đã có sổ,,Tây,,,10/29/2023,,,,Bờ Chùa,Xã Tân Quý Tây,Bình Chánh,TP Hồ Chí Minh,2.75
Nhà mặt phố,40,,,,5,5,4,Đã có sổ,,Đông Nam,,,10/29/2023,,,,Hoa Sữa,Phường 7,Phú Nhuận,TP Hồ Chí Minh,15.3
Nhà mặt phố,60,4.2,,,4,4,4,Đã có sổ,,,,,11/11/2023,,,,Đường Số 8,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,7.89
Nhà mặt phố,2156,49,,,,5,6,Đã có sổ,,Đông Bắc,,,11/13/2023,,,,Quốc Lộ 22,Xã Phước Hiệp,Củ Chi,TP Hồ Chí Minh,23
Nhà mặt phố,160,,,,5,6,6,Đã có sổ,Có nội thất,,,,11/13/2023,,,,Đường Nguyễn Duy Trinh,Phường Long Trường,TP Thủ Đức,TP Hồ Chí Minh,12.99
"Nhà ngõ, hẻm",60,,,,2,3,3,Đã có sổ,Có nội thất,,,,11/13/2023,,,,Đặng Văn Bi,Phường Trường Thọ,TP Thủ Đức,TP Hồ Chí Minh,1.45
"Nhà ngõ, hẻm",48,,,,2,2,2,Đã có sổ,Có nội thất,,,,10/31/2023,,,,Đông Hưng Thuận 31,Phường Đông Hưng Thuận,Quận 12,TP Hồ Chí Minh,2.7
"Nhà ngõ, hẻm",35,,,,1,3,3,Đã có sổ,Không có nội thất,,,,10/20/2023,,,,Duy Tân,Phường 15,Phú Nhuận,TP Hồ Chí Minh,4.55
Nhà mặt phố,60,4,,,,4,4,Đã có sổ,Có nội thất,,,,11/06/2023,,,,Lê Văn Việt,Phường Tăng Nhơn Phú B,TP Thủ Đức,TP Hồ Chí Minh,4.95
"Nhà ngõ, hẻm",63,,,,2,3,2,Đã có sổ,Có nội thất,,,,11/01/2023,,,,Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,5.6
"Nhà ngõ, hẻm",44,4,11,,,2,,Đã có sổ,,,,,11/01/2023,,,,Văn Cao,Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,3.399999999
"Nhà ngõ, hẻm",58.1,,,,,1,,Đã có sổ,,,,,11/01/2023,,,,Đường Lê Văn Sỹ,Phường 2,Tân Bình,TP Hồ Chí Minh,10
"Nhà ngõ, hẻm",100,4,,,,3,2,Đã có sổ,,Đông Nam,,,11/12/2023,,,,"68/8/12, TA20",Phường Thới An,Quận 12,TP Hồ Chí Minh,5
Nhà mặt phố,95,,,,3,4,5,Đã có sổ,,Nam,,,10/26/2023,,,,Đường 7A,Phường Bình Trị Đông B,Bình Tân,TP Hồ Chí Minh,14.4
"Nhà ngõ, hẻm",55,4,13.5,,,2,,,,,,,10/27/2023,,,,quang trung,Phường 8,Gò Vấp,TP Hồ Chí Minh,4.95
Nhà mặt phố,93,7.8,12,,,3,,Đã có sổ,,,,,10/23/2023,,,,Đường Số 5,Phường Trường Thạnh,TP Thủ Đức,TP Hồ Chí Minh,3.9
"Nhà ngõ, hẻm",46.5,,,,,2,1,Giấy tờ khác,,Đông,,,10/21/2023,,,,Bình Quới,Phường 28,Bình Thạnh,TP Hồ Chí Minh,1.05
Nhà mặt phố,64,4,16,,,4,,,,,,,10/21/2023,,,,Tx22,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,5.2
Nhà mặt phố,143,,,,,5,,,,,,,10/29/2023,,,,Đường số 18,Phường Linh Trung,TP Thủ Đức,TP Hồ Chí Minh,6.9
"Nhà ngõ, hẻm",70,4,,,2,3,3,,,Đông Nam,,,10/20/2023,,,,Thống Nhất,Phường 11,Gò Vấp,TP Hồ Chí Minh,4.7
Nhà mặt phố,25,,,,2,2,2,Đã có sổ,,Tây,,,11/06/2023,,,,Lê Trọng Tấn,Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,3.59
,75,,,,3,3,4,Đã có sổ,,Tây,,,11/01/2023,,,,"44, Tân cảng",Phường 25,Bình Thạnh,TP Hồ Chí Minh,27
"Nhà ngõ, hẻm",52,,,,4,4,5,Đã có sổ,,Tây,,,10/27/2023,,,,"98/8, đường số 29",Phường Bình Trị Đông B,Bình Tân,TP Hồ Chí Minh,6.35
Nhà phố liền kề,85,,,,1,3,3,Đã có sổ,Có nội thất,,,,10/27/2023,,,,Thạnh Lộc 44,Phường Thạnh Lộc,Quận 12,TP Hồ Chí Minh,3.999
"Nhà ngõ, hẻm",58,,,,1,2,3,Đã có sổ,,Nam,,,10/27/2023,,,,"12/5, 5D",Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,4.2
Nhà mặt phố,28,,,,3,4,3,Đã có sổ,Có nội thất,,,,10/27/2023,,,,Lê Trọng Tấn,Phường Tây Thạnh,Tân Phú,TP Hồ Chí Minh,2.83
Nhà mặt phố,175,7,25,,,4,,Đã có sổ,,,,,10/29/2023,,,,Tân Hương,Phường Tân Quý,Tân Phú,TP Hồ Chí Minh,17.6
Nhà mặt phố,320,,,,,,,,,,,,10/29/2023,,,,An Hạ,Xã Phạm Văn Hai,Bình Chánh,TP Hồ Chí Minh,0.59
"Nhà ngõ, hẻm",91,,,,,5,,Đã có sổ,Có nội thất,,,,11/12/2023,,,,Hậu Giang,Phường 4,Tân Bình,TP Hồ Chí Minh,15.9
"Nhà ngõ, hẻm",80,,,,1,2,1,Đã có sổ,Có nội thất,,,,10/29/2023,,,,Lê Thị Hà,Xã Tân Xuân,Hóc Môn,TP Hồ Chí Minh,2.8
Nhà mặt phố,160,8,20,,,2,,Đã có sổ,,Nam,,,10/20/2023,,,,Đường Số 15,Phường Tân Kiểng,Quận 7,TP Hồ Chí Minh,25.8
Nhà mặt phố,110,,,,2,4,3,Giấy tờ khác,Có nội thất,,,,10/20/2023,,,,7A,Phường Tăng Nhơn Phú B,TP Thủ Đức,TP Hồ Chí Minh,14.5
"Nhà ngõ, hẻm",55,,,,,3,,,,,,,10/20/2023,,,,Đường Quang Trung,Phường 8,Gò Vấp,TP Hồ Chí Minh,4
"Nhà ngõ, hẻm",20,,,,1,3,2,Đã có sổ,Không có nội thất,,,,11/16/2023,,,,Bông Sao,Phường 5,Quận 8,TP Hồ Chí Minh,1.7
"Nhà ngõ, hẻm",20,,,,1,3,3,Đã có sổ,Không có nội thất,,,,10/24/2023,,,,Bành Văn Trân,Phường 7,Tân Bình,TP Hồ Chí Minh,1.8
"Nhà ngõ, hẻm",41,4,12,,,3,2,,,,,,10/24/2023,,,,Chợ Thiếc,Phường Hiệp Thành,Quận 12,TP Hồ Chí Minh,2.75
Nhà mặt phố,78.9,,,,4,6,5,Đã có sổ,,Tây Nam,,,10/29/2023,,,,Mã Lò,Phường Bình Trị Đông A,Bình Tân,TP Hồ Chí Minh,13.6
"Nhà ngõ, hẻm",68,,,,6,5,6,Đã có sổ,Có nội thất,,,,10/29/2023,,,,Đường SINCO,Phường Bình Trị Đông B,Bình Tân,TP Hồ Chí Minh,6.39
"Nhà ngõ, hẻm",21,,,,,2,3,Đã có sổ,,,,,11/03/2023,,,,Lạc long quân,Phường 8,Tân Bình,TP Hồ Chí Minh,2.98
"Nhà ngõ, hẻm",77,,,,2,3,2,Đã có sổ,Có nội thất,,,,11/12/2023,,,,Tây Thạnh,Phường Tây Thạnh,Tân Phú,TP Hồ Chí Minh,5.3
"Nhà ngõ, hẻm",40,,,,1,2,2,Đã có sổ,Không có nội thất,,,,10/26/2023,,,,Lê Văn Thọ,Phường 9,Gò Vấp,TP Hồ Chí Minh,4.48
Nhà mặt phố,58,,,,3,3,3,Đã có sổ,Có nội thất,,,,10/26/2023,,,,Huỳnh Tịnh Của,Phường 19,Bình Thạnh,TP Hồ Chí Minh,8.9
"Nhà ngõ, hẻm",53,,,,3,3,2,Đã có sổ,Có nội thất,,,,10/27/2023,,,,Đường Lê Văn Chí,Phường Linh Trung,TP Thủ Đức,TP Hồ Chí Minh,4
Nhà mặt phố,140,,,,7,,Nhiều hơn 6 phòng,Đã có sổ,Có nội thất,,,,10/23/2023,,,,Đường Tên Lửa,Phường Bình Trị Đông B,Bình Tân,TP Hồ Chí Minh,22
Nhà biệt thự,338,11,,,2,3,,Đã có sổ,Có nội thất,,,,10/21/2023,,,,Đường Nhị Bình 17,Xã Nhị Bình,Hóc Môn,TP Hồ Chí Minh,13.9
"Nhà ngõ, hẻm",83,3.8,,,22,3,3,Đã có sổ,,,,,10/29/2023,,,,Đường Nguyễn Văn Đừng,Phường 6,Quận 5,TP Hồ Chí Minh,9.8
"Nhà ngõ, hẻm",12,3,4,,,1,,Đã có sổ,,,,,11/12/2023,,,,Phạm Văn Bạch,Phường 15,Tân Bình,TP Hồ Chí Minh,0.9
Nhà phố liền kề,32,,,,2,4,3,Đã có sổ,,Đông Nam,,,10/17/2023,,,,Đường số 1,Phường 16,Gò Vấp,TP Hồ Chí Minh,4.35
Nhà mặt phố,35,,,,2,2,2,Đã có sổ,,Đông Bắc,,,10/20/2023,,,,Nguyễn Bỉnh Khiêm,Phường 1,Gò Vấp,TP Hồ Chí Minh,8.5
Nhà mặt phố,22,,,,2,2,2,Đang chờ sổ,,Bắc,,,10/30/2023,,,,"39, Đường Số 43",Phường Tân Quy,Quận 7,TP Hồ Chí Minh,1.8
Nhà phố liền kề,51,,,,3,4,4,Đã có sổ,,Đông Nam,,,11/16/2023,,,,Đường Huỳnh Tấn Phát,Thị trấn Nhà Bè,Nhà Bè,TP Hồ Chí Minh,5.2
"Nhà ngõ, hẻm",84,5,,,4,5,,Đã có sổ,Có nội thất,,,,11/16/2023,,,,Hiệp Thành 31,Phường Hiệp Thành,Quận 12,TP Hồ Chí Minh,6.3
Nhà mặt phố,168,11.4,,,,2,,Đã có sổ,Có nội thất,,,,10/24/2023,,,,Đường Nguyễn Văn Quỳ,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,16.8
"Nhà ngõ, hẻm",280,,,,11,1,1,Đã có sổ,Không có nội thất,,,,10/28/2023,,,,Liên Khu 5-6,Phường Bình Hưng Hòa,Bình Tân,TP Hồ Chí Minh,13.2
Nhà mặt phố,90,5,18,,,1,1,Đã có sổ,,,,,10/29/2023,,,,Tiền Lân,Xã Bà Điểm,Hóc Môn,TP Hồ Chí Minh,4.1
"Nhà ngõ, hẻm",84,,,,2,4,3,Đã có sổ,,Tây,,,11/03/2023,,,,Bờ Chùa,Xã Tân Quý Tây,Bình Chánh,TP Hồ Chí Minh,2.7
"Nhà ngõ, hẻm",64,5.5,,,,3,4,Đã có sổ,Có nội thất,,,,11/06/2023,,,,Đường Lạc Long Quân,Phường 9,Tân Bình,TP Hồ Chí Minh,5.1
Nhà mặt phố,56,,,,1,3,1,Đã có sổ,Không có nội thất,,,,11/06/2023,,,,Hoàng Diệu,Phường 6,Quận 4,TP Hồ Chí Minh,1.26
Nhà mặt phố,33,,,,3,3,3,Đã có sổ,,Tây,,,10/23/2023,,,,Đường Lâm Văn Bền,Phường Tân Quy,Quận 7,TP Hồ Chí Minh,9.7
"Nhà ngõ, hẻm",63,5,12.6,,1,3,2,,,,,,11/12/2023,,,,Bùi Minh Trực,Phường 5,Quận 8,TP Hồ Chí Minh,1.52
"Nhà ngõ, hẻm",70,,,,1,3,2,Đã có sổ,,,,,10/17/2023,,,,Quang Trung,Phường 10,Gò Vấp,TP Hồ Chí Minh,1.35
"Nhà ngõ, hẻm",55,,,,,2,2,,,,,,10/20/2023,,,,Hoa Sứ,Phường 7,Phú Nhuận,TP Hồ Chí Minh,1.55
"Nhà ngõ, hẻm",97,,,,,5,5,Đã có sổ,Có nội thất,Tây Nam,,,10/20/2023,,,,Đường18B,Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,7.9
"Nhà ngõ, hẻm",55,,,,3,3,4,Đã có sổ,,Tây,,,10/30/2023,,,,Đường Quang Trung,Phường 10,Gò Vấp,TP Hồ Chí Minh,7.5
Nhà mặt phố,72,,,,3,5,3,Đã có sổ,,Bắc,,,11/16/2023,,,,Đường Số 36,Phường 10,Quận 6,TP Hồ Chí Minh,11.5
"Nhà ngõ, hẻm",45,5.2,9,,4,4,,Đã có sổ,,,,,10/24/2023,,,,Phạm Văn Chiêu,Phường 14,Gò Vấp,TP Hồ Chí Minh,4.5
Nhà mặt phố,145,,,,3,3,2,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Độc Lập,Phường Tân Thành,Tân Phú,TP Hồ Chí Minh,25.5
Nhà mặt phố,87,2.5,,,4,6,3,Đã có sổ,,,,,10/24/2023,,,,Hoà Hảo,Phường 4,Quận 10,TP Hồ Chí Minh,5.5
"Nhà ngõ, hẻm",36,,,,,3,2,Đã có sổ,,,,,11/03/2023,,,,Đường Xóm Chiếu,Phường 15,Quận 4,TP Hồ Chí Minh,1.5
"Nhà ngõ, hẻm",45,,,,1,2,2,Đã có sổ,,Đông,,,11/06/2023,,,,Huỳnh Tấn Phát,Phường Phú Mỹ,Quận 7,TP Hồ Chí Minh,4.65
"Nhà ngõ, hẻm",40,5.82,,,3,4,3,,,Đông,,,10/23/2023,,,,HUỲNH TẤN PHÁT,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,4.15
"Nhà ngõ, hẻm",45,,,,2,2,2,Đã có sổ,Có nội thất,,,,11/04/2023,,,,Đặng Văn Bi,Phường Trường Thọ,TP Thủ Đức,TP Hồ Chí Minh,3.6
"Nhà ngõ, hẻm",48,,,,,3,3,,Có nội thất,,,,10/28/2023,,,,Đường số 6,Phường Hiệp Bình Chánh,TP Thủ Đức,TP Hồ Chí Minh,3.5
Nhà phố liền kề,60,,,,5,6,6,Đã có sổ,Có nội thất,,,,11/13/2023,,,,Hà Huy Giáp,Phường Thạnh Lộc,Quận 12,TP Hồ Chí Minh,7.88
"Nhà ngõ, hẻm",150,8,,,1,4,2,Đã có sổ,,,,,11/13/2023,,,,Đường Hoàng Hữu Nam,Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,4.8
"Nhà ngõ, hẻm",90,,,,,8,,Đã có sổ,,,,,11/05/2023,,,,Hẻm 467 Lê Đức Thọ,Phường 16,Gò Vấp,TP Hồ Chí Minh,11.5
Nhà biệt thự,180,10,18,,2,5,Nhiều hơn 6 phòng,,,,,,10/24/2023,,,,Bình Lợi,Phường 13,Bình Thạnh,TP Hồ Chí Minh,19
Nhà mặt phố,36.8,3.2,,,5,5,,Đã có sổ,,Đông Nam,,,10/18/2023,,,,Hưng Phú,Phường 8,Quận 8,TP Hồ Chí Minh,8.9
"Nhà ngõ, hẻm",71,,,,1,4,2,Đã có sổ,,Tây,,,10/23/2023,,,,"611/13/1, lê văn thọ",Phường 14,Gò Vấp,TP Hồ Chí Minh,5.7
"Nhà ngõ, hẻm",50,,,,,6,6,,,,,,10/28/2023,,,,Đường Số 2,Phường Linh Xuân,TP Thủ Đức,TP Hồ Chí Minh,2.5
"Nhà ngõ, hẻm",71,4,,,2,3,,Đã có sổ,Có nội thất,,,,11/03/2023,,,,Đường Lê Văn Quới,Phường Bình Hưng Hoà A,Bình Tân,TP Hồ Chí Minh,4.7
"Nhà ngõ, hẻm",23,3.5,,,1,2,2,Đã có sổ,,,,,11/06/2023,,,,Hẻm 295 Tân Hòa Đông,Phường Bình Trị Đông,Bình Tân,TP Hồ Chí Minh,1.8
,100,,,,4,4,4,Đã có sổ,,Tây,,,10/23/2023,,,,"C16 khu K82, Tô Ký",Phường Tân Chánh Hiệp,Quận 12,TP Hồ Chí Minh,7.5
"Nhà ngõ, hẻm",23,3,8,,,2,,,,,,,11/04/2023,,,,Tx39,Phường Thạnh Xuân,Quận 12,TP Hồ Chí Minh,0.9
Nhà mặt phố,96,,,,,5,5,Đã có sổ,Có nội thất,,,,11/04/2023,,,,Tân Thới Hiệp 13,Phường Tân Thới Hiệp,Quận 12,TP Hồ Chí Minh,6.49
Nhà mặt phố,92.5,5,,,,3,3,Đã có sổ,Có nội thất,,,,10/28/2023,,,,Nguyễn Thị Thập,Phường Bình Thuận,Quận 7,TP Hồ Chí Minh,9.3
Nhà mặt phố,80,,,,1,2,2,Đã có sổ,Có nội thất,,,,11/13/2023,,,,trần văn giàu,Xã Bình Chánh,Bình Chánh,TP Hồ Chí Minh,0.75
"Nhà ngõ, hẻm",66,5.5,,,2,3,4,,Không có nội thất,,,,11/05/2023,,,,Lạc Long Quân,Phường 9,Tân Bình,TP Hồ Chí Minh,5.1
Nhà mặt phố,70,,,,4,5,6,Đã có sổ,,Đông Bắc,,,10/24/2023,,,,Tân Trang,Phường 9,Tân Bình,TP Hồ Chí Minh,11.5
"Nhà ngõ, hẻm",40,4,10,,,2,2,Đã có sổ,,,,,10/18/2023,,,,Xtt9,Xã Xuân Thới Thượng,Hóc Môn,TP Hồ Chí Minh,2.69
Nhà mặt phố,72,,,,1,3,3,Đã có sổ,Không có nội thất,,,,10/23/2023,,,,Nguyễn Văn Quá,Phường Đông Hưng Thuận,Quận 12,TP Hồ Chí Minh,0.96
"Nhà ngõ, hẻm",45,,,,1,2,2,Đã có sổ,,Đông,,,10/23/2023,,,,Huỳnh Tấn Phát,Phường Phú Mỹ,Quận 7,TP Hồ Chí Minh,4.65
"Nhà ngõ, hẻm",67,,,,,5,,,,,,,09/29/2023,,,,Nguyễn Thái Bình,Phường 12,Tân Bình,TP Hồ Chí Minh,12
"Nhà ngõ, hẻm",63,,,,2,3,2,Đã có sổ,Có nội thất,,,,09/23/2023,,,,Bành Văn Trân,Phường 7,Tân Bình,TP Hồ Chí Minh,1.4
"Nhà ngõ, hẻm",104,4.5,222.5,,,2,2,,,,,,09/28/2023,,,,1632 Huỳnh tấn phát,Thị trấn Nhà Bè,Nhà Bè,TP Hồ Chí Minh,6.5
