Loại hình nhà ở,Diện tích (m²),Chiều rộng (m),Chiều dài (m),Mặt tiền (m),Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào (m),Ngày đăng,Ngày hết hạn,Loại tin,Tên dự án,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Tỉnh thành,Mức giá (tỷ)
Chung cư,70,,,,,2,2,,,,,,09/28/2023,,,,"Số 28, Đường Bùi Tư Toàn",Phường An Lạc,Bình Tân,TP Hồ Chí Minh,1.8
Chung cư,71,,,,,2,,Đang chờ sổ,Có nội thất,,,,09/28/2023,,,,"số 88, N1",Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,3.2
Chung cư,60,,,,,2,1,,,,,,09/28/2023,,,,Đường Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,1.7
Chung cư,206,,,,,3,3,,,,,,09/28/2023,,,,Nguyễn Hữu Cảnh,Phường 22,Bình Thạnh,TP Hồ Chí Minh,29
Chung cư,60,,,,,2,,,,,,,09/28/2023,,,,"số 88, N1",Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,2.18
Chung cư,75,,,,,2,2,Đã có sổ,Có nội thất,,,,09/28/2023,,,,Nguyễn Văn Linh,Phường Tân Thuận Tây,Quận 7,TP Hồ Chí Minh,1.58
Chung cư,95,,,,,3,2,,,,,,09/28/2023,,,,Võ Văn Kiệt,Phường 16,Quận 8,TP Hồ Chí Minh,2.35
Chung cư,70,,,,,2,,,,,,,09/28/2023,,,,Nguyễn Văn Linh,Phường Tân Thuận Tây,Quận 7,TP Hồ Chí Minh,3.5
Chung cư,80,,,,,2,1,Đã có sổ,,Đông Nam,Đông Nam,,09/28/2023,,,,cc5,Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,2.28
Chung cư,65,,,,,2,2,,,Tây Bắc,,,09/28/2023,,,,"278, Hoà bình",Phường Hiệp Tân,Tân Phú,TP Hồ Chí Minh,2.5
Chung cư,47,,,,,2,,,,,,,09/28/2023,,,,Nguyễn Xiển,Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,1.6
Chung cư,55,,,,,1,1,,,,,,09/28/2023,,,,Nguyễn Văn Linh,Xã Bình Hưng,Bình Chánh,TP Hồ Chí Minh,1.29
Chung cư,91,,,,,2,2,Đã có sổ,,Nam,Nam,,09/28/2023,,,,Nguyễn Sỹ Sách,Phường 15,Tân Bình,TP Hồ Chí Minh,2.89
Chung cư,70,,,,,2,2,,,Tây Bắc,Đông Nam,,09/28/2023,,,,"27, Trịnh Đình Thảo",Phường Hòa Thạnh,Tân Phú,TP Hồ Chí Minh,2.6
Chung cư,69,,,,,2,2,,,,,,09/28/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.3
Chung cư,73,,,,,2,,,,,,,09/28/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,1.8
Chung cư,56,,,,,2,1,,,,,,09/28/2023,,,,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,2.6
Chung cư,76,,,,,2,2,Đã có sổ,,,,,09/28/2023,,,,"351/35, PHẠM VĂN ĐỒNG",Phường 13,Bình Thạnh,TP Hồ Chí Minh,2.65
Chung cư,35,,,,,1,1,,,Đông Nam,Tây Bắc,,09/08/2023,,,,"117/80, Hồ Văn Long",Phường Tân Tạo,Bình Tân,TP Hồ Chí Minh,0.66
Chung cư,38.2,,,,,1,1,,,Tây Bắc,Đông Nam,,09/08/2023,,,,"117/80, Hồ Văn Long",Phường Tân Tạo,Bình Tân,TP Hồ Chí Minh,0.585
Chung cư,54,,,,,1,1,,,,,,09/08/2023,,,,"số 88, Đường N1",Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,2.3
Chung cư,73,,,,,2,2,Đang chờ sổ,Có nội thất,,,,09/08/2023,,,,Đường Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.45
Chung cư,63,,,,,2,2,,,Bắc,Nam,,09/08/2023,,,,"22/14, Trường Chinh",Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,1.95
Chung cư,57,,,,,1,1,,,,,,09/08/2023,,,,Nguyễn Văn Linh,Xã Phong Phú,Bình Chánh,TP Hồ Chí Minh,1.69
Chung cư,125,,,,,2,2,,,Đông Nam,Tây Bắc,,09/08/2023,,,,"Số 01, 104A",Phường Bình Trưng Tây,TP Thủ Đức,TP Hồ Chí Minh,12.5
Chung cư,81,,,,,2,2,,,,,,09/08/2023,,,,Bát Nàn,Phường Thạnh Mỹ Lợi,TP Thủ Đức,TP Hồ Chí Minh,5.79
Chung cư,50,,,,,2,1,,,Tây,,,09/08/2023,,,,17A,Phường Bình Trị Đông B,Bình Tân,TP Hồ Chí Minh,1.9
Chung cư,65,,,,,2,2,,,Tây Bắc,Đông Nam,,09/08/2023,,,,An Dương Vương,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,3.4
Chung cư,47,,,,,1,1,Đã có sổ,Có nội thất,,,,09/08/2023,,,,Tôn Thất Thuyết,Phường 1,Quận 4,TP Hồ Chí Minh,1.01
Chung cư,59,,,,,2,1,Đã có sổ,Không nội thất,,,,09/08/2023,,,,Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,1.79
Chung cư,62,,,,,2,,Đã có sổ,,,,,09/08/2023,,,,Phan Huy Ích,Phường 15,Tân Bình,TP Hồ Chí Minh,0.97
Chung cư,75,,,,,2,2,,,Bắc,,,09/08/2023,,,,Võ Văn Kiệt,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,2.8
Chung cư,72,,,,,2,2,Đã có sổ,,Đông Bắc,Đông Bắc,,09/08/2023,,,,"208, Nguyễn Hữu Cảnh",Phường 22,Bình Thạnh,TP Hồ Chí Minh,5.1
Chung cư,70,,,,,2,,,Có nội thất,Đông Nam,,,09/08/2023,,,,"Số 1, Tôn Thất Thuyết",Phường 18,Quận 4,TP Hồ Chí Minh,5.9
Chung cư,73,,,,,2,2,,,,,,09/08/2023,,,,Đường Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.1
Chung cư,58,,,,,2,2,Đã có sổ,,,,,09/08/2023,,,,Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,1.8
Chung cư,75,,,,,2,2,,,Đông,Đông,,09/08/2023,,,,Võ Văn Kiệt,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,4
Chung cư,57,,,,,1,1,,,,,,09/08/2023,,,,Đường Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,1.7
Chung cư,68,,,,,2,2,Đang chờ sổ,Không nội thất,,,,09/08/2023,,,,"Lô 5, Bình Hưng Hòa B",Phường Bình Hưng Hoà B,Bình Tân,TP Hồ Chí Minh,1.82
Chung cư,75,,,,,2,2,Đã có sổ,Có nội thất,,,,09/08/2023,,,,"128, Đường Hồng Hà",Phường 9,Phú Nhuận,TP Hồ Chí Minh,5
Chung cư,85,,,,,2,2,Đang chờ sổ,Có nội thất,,,,09/08/2023,,,,An Dương Vương,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,1.9
Chung cư,70,,,,,2,2,,Có nội thất,,,,09/08/2023,,,,An Dương Vương,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,1.9
Chung cư,68,,,,,2,2,,,Tây Bắc,,,09/08/2023,,,,D1,Phường Linh Tây,TP Thủ Đức,TP Hồ Chí Minh,2.37
Chung cư,75,,,,,2,2,Đang chờ sổ,,Đông,Đông,,09/30/2023,,,,Lê Lai,Phường Bến Thành,Quận 1,TP Hồ Chí Minh,5.7
Chung cư,66,,,,,2,2,Đã có sổ,Có nội thất,,,,09/30/2023,,,,Nguyễn Văn Linh,Phường Tân Thuận Tây,Quận 7,TP Hồ Chí Minh,1.67
Chung cư,52,,,,,2,1,,,,,,09/30/2023,,,,"7A, Thoại Ngọc Hầu",Phường Hòa Thạnh,Tân Phú,TP Hồ Chí Minh,2.8
Chung cư,44,,,,,1,1,,,,,,09/30/2023,,,,"290, An Dương Vương",Phường 4,Quận 5,TP Hồ Chí Minh,3.2
Chung cư,120,,,,,3,2,Đã có sổ,,Đông Nam,Đông Nam,,09/30/2023,,,,"628A, Xa Lộ Hà Nội",Phường An Phú,TP Thủ Đức,TP Hồ Chí Minh,6.3
Chung cư,56,,,,,2,1,,,Nam,,,09/30/2023,,,,Võ Văn Kiệt,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,2.3
Chung cư,90,,,,,3,2,Đã có sổ,Có nội thất,,,,09/30/2023,,,,"181, Cao Thắng",Phường 12,Quận 10,TP Hồ Chí Minh,1.53
Chung cư,106,,,,,3,2,,,Tây,Đông,,09/30/2023,,,,Nguyễn Hữu Cảnh,Phường 22,Bình Thạnh,TP Hồ Chí Minh,5.7
Chung cư,80,,,,,2,2,Đã có sổ,Có nội thất,,,,09/30/2023,,,,Bến Vân Đồn,Phường 13,Quận 4,TP Hồ Chí Minh,2
Chung cư,57,,,,,2,2,,,,,,09/30/2023,,,,Nguyễn Văn Linh,Phường 7,Quận 8,TP Hồ Chí Minh,1.312
Chung cư,63,,,,,2,2,,,,,,09/22/2023,,,,"Lô 5, Bình Hưng Hòa B",Phường Bình Hưng Hoà B,Bình Tân,TP Hồ Chí Minh,1.75
Chung cư,70,,,,,2,2,,,,,,09/22/2023,,,,"196, Cao Lỗ",Phường 4,Quận 8,TP Hồ Chí Minh,2.279
Chung cư,89,,,,,3,2,,Có nội thất,,,,09/22/2023,,,,Lê Đại Hành,Phường 15,Quận 11,TP Hồ Chí Minh,5
Chung cư,56,,,,,1,1,,,,,,09/22/2023,,,,Bùi Hữu Nghĩa,Phường 2,Bình Thạnh,TP Hồ Chí Minh,2.488
Chung cư,72,,,,,2,2,Đã có sổ,Có nội thất,,,,09/22/2023,,,,Nguyễn Văn Linh,Xã Bình Hưng,Bình Chánh,TP Hồ Chí Minh,2.8
Chung cư,75,,,,,2,2,Đã có sổ,,,,,09/22/2023,,,,Đường Hoàng Minh Giám,Phường 9,Phú Nhuận,TP Hồ Chí Minh,2.1
Chung cư,80,,,,,3,2,,,,,,09/22/2023,,,,"số 88, N1",Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,2.99
Chung cư,80.43,,,,,3,2,,,,,,09/22/2023,,,,Trịnh Quang Nghị,Phường 7,Quận 8,TP Hồ Chí Minh,2.05
Chung cư,75,,,,,2,2,,Có nội thất,,,,09/14/2023,,,,"360G - 360Bis, Bến Vân Đồn",Phường 1,Quận 4,TP Hồ Chí Minh,3
Chung cư,60,,,,,2,2,,,Bắc,Nam,,09/14/2023,,,,Nguyễn Văn Linh,Phường Tân Thuận Tây,Quận 7,TP Hồ Chí Minh,3.255
Chung cư,80,,,,,3,2,,,,,,09/16/2023,,,,"số 88, N1",Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,2.99
Chung cư,95,,,,,3,2,,,Đông Bắc,,,09/16/2023,,,,Nguyễn Văn Linh,Phường Tân Thuận Tây,Quận 7,TP Hồ Chí Minh,4.7
Chung cư,98,,,,,3,2,Đã có sổ,Có nội thất,,,,09/16/2023,,,,D1,Phường 25,Bình Thạnh,TP Hồ Chí Minh,1.58
Chung cư,113,,,,,3,2,,,,,,09/16/2023,,,,"10, Mai Chí Thọ",Phường An Lợi Đông,TP Thủ Đức,TP Hồ Chí Minh,8.5
Chung cư,113,,,,,3,2,Giấy tờ khác,Có nội thất,,,,09/16/2023,,,,"10, Mai Chí Thọ",Phường An Lợi Đông,TP Thủ Đức,TP Hồ Chí Minh,8.5
Chung cư,113,,,,,3,2,,,,,,09/16/2023,,,,"10, Mai Chí Thọ",Phường An Lợi Đông,TP Thủ Đức,TP Hồ Chí Minh,8.5
Chung cư,113,,,,,3,2,,,,,,09/16/2023,,,,"10, Mai Chí Thọ",Phường An Lợi Đông,TP Thủ Đức,TP Hồ Chí Minh,9.2
Chung cư,53,,,,,2,1,,,,,,09/16/2023,,,,Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,TP Hồ Chí Minh,2.15
Chung cư,65,,,,,2,2,,,,,,09/16/2023,,,,Trịnh Quang Nghị,Xã Phong Phú,Bình Chánh,TP Hồ Chí Minh,1.95
Chung cư,52,,,,,2,,,,,,,09/16/2023,,,,Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,1.58
Chung cư,40,,,,,,6,,,Đông Nam,,,09/16/2023,,,,Cư Xá Phú Lâm B,Phường 2,Quận 6,TP Hồ Chí Minh,0.9
Chung cư,71,,,,,2,2,,,,,,09/16/2023,,,,N1,Phường Sơn Kỳ,Tân Phú,TP Hồ Chí Minh,3.4
Chung cư,71,,,,,2,2,,,,,,09/16/2023,,,,Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,TP Hồ Chí Minh,3
Chung cư,71,,,,,2,2,,,,,,09/16/2023,,,,Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,TP Hồ Chí Minh,3.65
Chung cư,102,,,,,3,2,Đã có sổ,,Đông Nam,Đông Nam,,09/16/2023,,,,"224/5, Quốc Lộ 13",Phường 26,Bình Thạnh,TP Hồ Chí Minh,4.2
Chung cư,71,,,,,2,2,,,,,,09/16/2023,,,,Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,TP Hồ Chí Minh,3.15
Chung cư,66.45,,,,,2,2,,,,,,09/16/2023,,,,Trịnh Quang Nghị,Phường 7,Quận 8,TP Hồ Chí Minh,1.86
Chung cư,69,,,,,2,2,Đã có sổ,Có nội thất,,,,09/16/2023,,,,Nguyễn Xiển,Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,2.6
Chung cư,48,,,,,2,1,,,,,,09/16/2023,,,,Tên Lửa,Phường Bình Trị Đông B,Bình Tân,TP Hồ Chí Minh,1.6
Chung cư,71,,,,,2,2,Đã có sổ,,,,,09/16/2023,,,,Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,TP Hồ Chí Minh,3.75
Chung cư,58,,,,,2,,,,,,,09/16/2023,,,,Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,1.69
Chung cư,69,,,,,2,2,Đã có sổ,,,,,09/16/2023,,,,"90A, Lý Thường Kiệt",Phường 14,Quận 10,TP Hồ Chí Minh,4.2
Chung cư,69,,,,,2,2,Đã có sổ,,,,,09/16/2023,,,,"90A, Lý Thường Kiệt",Phường 14,Quận 10,TP Hồ Chí Minh,4.2
Chung cư,45,,,,,1,1,,,,,,09/16/2023,,,,"75A, Tô HIỆU",Phường Hiệp Tân,Tân Phú,TP Hồ Chí Minh,1.39
Chung cư,70,,,,,2,2,,,,,,09/16/2023,,,,Tân Túc,Thị trấn Tân Túc,Bình Chánh,TP Hồ Chí Minh,2.7
Chung cư,67,,,,,2,2,,,,,,09/16/2023,,,,Lý Chiêu Hoàng,Phường 10,Quận 6,TP Hồ Chí Minh,2.48
Chung cư,77,,,,,2,2,,,,,,09/16/2023,,,,"Khu đô thị Cityland Park Hills - Số 18, Phan Văn Trị",Phường 10,Gò Vấp,TP Hồ Chí Minh,3.6
Chung cư,63,,,,,2,2,,,Nam,Bắc,,09/16/2023,,,,"22/14, Trường Chinh",Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,1.9
Chung cư,69,,,,,2,2,,,Đông Nam,,,09/16/2023,,,,"s2.02-14.04, Nguyễn Xiển",Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,2.7
Chung cư,80,,,,,2,2,,,Tây Bắc,Tây Bắc,,09/16/2023,,,,Bát Nàn,Phường Thạnh Mỹ Lợi,TP Thủ Đức,TP Hồ Chí Minh,5.65
Chung cư,100,,,,,3,2,,,,,,09/16/2023,,,,Mai Chí Thọ,Phường An Phú,TP Thủ Đức,TP Hồ Chí Minh,3.8
Chung cư,73,,,,,2,2,,,,,,09/16/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.45
Chung cư,53,,,,,1,1,,,,,,09/16/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.1
Chung cư,50,,,,,1,1,,,Tây,Đông,,09/16/2023,,,,An Dương Vương,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,2.7
Chung cư,67,,,,,2,2,Đang chờ sổ,,Đông,,,09/16/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.15
Chung cư,80,,,,,3,2,,,,,,09/16/2023,,,,Mai Chí Thọ,Phường An Phú,TP Thủ Đức,TP Hồ Chí Minh,4.09
Chung cư,76,,,,,2,2,,,,,,09/16/2023,,,,Mai Chí Thọ,Phường An Phú,TP Thủ Đức,TP Hồ Chí Minh,3.85
Chung cư,53,,,,,1,1,,,Tây,Nam,,09/16/2023,,,,Đường Nguyễn Xiển,Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,1.6
Chung cư,71,,,,,2,2,,,,,,09/16/2023,,,,Mai Chí Thọ,Phường An Phú,TP Thủ Đức,TP Hồ Chí Minh,3.15
Chung cư,85,,,,,2,2,,Có nội thất,Đông,Đông,,09/16/2023,,,,Tân Túc,Thị trấn Tân Túc,Bình Chánh,TP Hồ Chí Minh,3.1
Chung cư,65,,,,,2,2,,,,,,09/16/2023,,,,Xa Lộ Hà Nội,Phường Hiệp Phú,TP Thủ Đức,TP Hồ Chí Minh,1.8
Chung cư,65,,,,,2,2,,,,,,09/16/2023,,,,Xa Lộ Hà Nội,Phường Hiệp Phú,TP Thủ Đức,TP Hồ Chí Minh,1.8
Chung cư,65,,,,,2,2,,,,,,09/16/2023,,,,Xa Lộ Hà Nội,Phường Hiệp Phú,TP Thủ Đức,TP Hồ Chí Minh,2
Chung cư,87,,,,,2,2,,,,,,09/16/2023,,,,"Số 200, 12",Phường 12,Quận 10,TP Hồ Chí Minh,6.5
Chung cư,75,,,,,2,2,Đã có sổ,Có nội thất,,,,10/11/2023,,,,"15B, Nguyễn Lương Bằng",Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,1.85
Chung cư,72,,,,,2,2,Đã có sổ,,,,,09/16/2023,,,,"15B, Nguyễn Lương Bằng",Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,1.85
Chung cư,67,,,,,2,2,,,,,,09/16/2023,,,,Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.65
Chung cư,63,,,,,2,2,,,Nam,Bắc,,09/16/2023,,,,"22/14, Trường Chinh",Phường Tân Thới Nhất,Quận 12,TP Hồ Chí Minh,1.89
Chung cư,51,,,,,2,1,,,,,,10/11/2023,,,,Lý Chiêu Hoàng,Phường 10,Quận 6,TP Hồ Chí Minh,1.88
Chung cư,60,,,,,2,1,,Có nội thất,,,,10/11/2023,,,,Tạ Quang Bửu,Phường 6,Quận 8,TP Hồ Chí Minh,1.9
Chung cư,55.1,,,,,1,1,,,Tây Nam,Đông Bắc,,10/11/2023,,,,"Chung Cư GRAND RIVERSIDE 278, Bến Vân Đồn",Phường 2,Quận 4,TP Hồ Chí Minh,2.85
Chung cư,50,,,,,2,2,Đang chờ sổ,Không nội thất,,,,10/11/2023,,,,Lý Chiêu Hoàng,Phường 10,Quận 6,TP Hồ Chí Minh,1.8
Chung cư,90,,,,,2,2,Đang chờ sổ,,Đông Bắc,,,10/11/2023,,,,"33, Phan Huy Ích",Phường 15,Tân Bình,TP Hồ Chí Minh,2.55
Chung cư,50,,,,,1,1,,,,,,10/11/2023,,,,"334, Tô Hiến Thành",Phường 14,Quận 10,TP Hồ Chí Minh,3.7
Chung cư,66,,,,,2,2,,,,,,10/11/2023,,,,Số 1,Phường Trường Thọ,TP Thủ Đức,TP Hồ Chí Minh,2.85
Chung cư,121,,,,,3,,,,,,,10/11/2023,,,,Nguyễn Hữu Thọ,Xã Phước Kiển,Nhà Bè,TP Hồ Chí Minh,2.65
Chung cư,50,,,,,2,1,,Không nội thất,,,,10/11/2023,,,,Lý Chiêu Hoàng,Phường 10,Quận 6,TP Hồ Chí Minh,1.89
Chung cư,50,,,,,1,1,,,,,,10/11/2023,,,,Hồ Học Lãm,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,1.4
Chung cư,80,,,,,4,5,Đã có sổ,,,,,09/23/2023,,,,Nguyễn Văn Bứa,Xã Phạm Văn Hai,Bình Chánh,TP Hồ Chí Minh,0.41
Chung cư,68,,,,,2,,,Có nội thất,,,,09/23/2023,,,,Tạ Quang Bửu,Phường 6,Quận 8,TP Hồ Chí Minh,2.95
Chung cư,72,,,,,2,2,,,Bắc,,,09/23/2023,,,,"436, Lê Văn Khương",Phường Thới An,Quận 12,TP Hồ Chí Minh,1.9
Chung cư,65,,,,,2,2,,,Tây Bắc,,,09/23/2023,,,,Xa Lộ Hà Nội,Phường Hiệp Phú,TP Thủ Đức,TP Hồ Chí Minh,1.9
Chung cư,75,,,,,2,2,,,,,,09/23/2023,,,,"15B, Nguyễn Lương Bằng",Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,1.85
Chung cư,72,,,,,2,2,Đã có sổ,Có nội thất,,,,09/23/2023,,,,"15B, Nguyễn Lương Bằng",Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,1.88
Chung cư,110,,,,,3,2,Đã có sổ,Có nội thất,,,,09/23/2023,,,,"48/5B, Ung Văn Khiêm",Phường 25,Bình Thạnh,TP Hồ Chí Minh,5.1
Chung cư,66,,,,,2,2,,,,,,09/23/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.35
Chung cư,68,,,,,2,,,,,,,09/23/2023,,,,"Số 4, Đào Trí",Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,2.4
Chung cư,70,,,,,2,2,,,,,,09/23/2023,,,,Hà Huy Giáp,Phường Thạnh Lộc,Quận 12,TP Hồ Chí Minh,2.95
Chung cư,130,,,,,3,,Đã có sổ,Có nội thất,,,,09/23/2023,,,,Chu Văn An,Phường 12,Bình Thạnh,TP Hồ Chí Minh,4.37
Chung cư,59,,,,,2,2,,,,,,09/23/2023,,,,Tân Túc,Thị trấn Tân Túc,Bình Chánh,TP Hồ Chí Minh,1.95
Chung cư,51,,,,,1,1,,,,,,09/23/2023,,,,Mai Chí Thọ,Phường An Phú,TP Thủ Đức,TP Hồ Chí Minh,2.45
Chung cư,63,,,,,1,1,Giấy tờ khác,Có nội thất,,,,09/22/2023,,,,Tôn Đức Thắng,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,22
Chung cư,40,,,,,2,2,,,,,,09/22/2023,,,,Nguyễn Xiển,Phường Long Thạnh Mỹ,TP Thủ Đức,TP Hồ Chí Minh,2.55
Chung cư,70,,,,,2,2,Đã có sổ,Có nội thất,,,,09/22/2023,,,,Pasteur,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,10.2
Chung cư,75,,,,,2,2,Giấy tờ khác,Không nội thất,,,,09/22/2023,,,,Tôn Đức Thắng,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,27.95
Chung cư,67,,,,,2,2,Đang chờ sổ,Không nội thất,,,,09/22/2023,,,,Đường An Dương Vương,Phường An Lạc,Bình Tân,TP Hồ Chí Minh,3.25
Chung cư,80,,,,,2,2,Giấy tờ khác,Có nội thất,,,,09/22/2023,,,,"2, Đường Tôn Đức Thắng",Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,
Chung cư,75,,,,,1,1,,,,,,09/22/2023,,,,"103, Hồ Học Lãm",Phường An Lạc,Bình Tân,TP Hồ Chí Minh,2.15
Chung cư,74,,,,,2,2,Đã có sổ,Có nội thất,,,,09/22/2023,,,,đường Tôn Đức Thắng,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,2.97
Chung cư,87,,,,,2,2,Đã có sổ,,,,,09/22/2023,,,,Lê Đức Thọ,Phường 15,Gò Vấp,TP Hồ Chí Minh,2.55
Chung cư,75,,,,,2,2,Đã có sổ,Có nội thất,,,,09/22/2023,,,,"33, Trương Công Định",Phường 14,Tân Bình,TP Hồ Chí Minh,1.36
Chung cư,97,,,,,3,2,Đã có sổ,Có nội thất,,,,09/22/2023,,,,Đường Lê Đại Hành,Phường 15,Quận 11,TP Hồ Chí Minh,1.752
Chung cư,60,,,,,2,2,,,,,,09/22/2023,,,,"196, Cao Lỗ",Phường 4,Quận 8,TP Hồ Chí Minh,1.69
Chung cư,78,,,,,2,,,,,,,09/22/2023,,,,"Số 685, Âu Cơ",Phường Tân Thành,Tân Phú,TP Hồ Chí Minh,2.8
Chung cư,78,,,,,2,,,,,,,09/22/2023,,,,"15B, Nguyễn Lương Bằng",Xã Phú Xuân,Nhà Bè,TP Hồ Chí Minh,1.77
Chung cư,57,,,,,2,2,,,,,,09/22/2023,,,,"Số 8, Gò Dưa",Phường Hiệp Bình Phước,TP Thủ Đức,TP Hồ Chí Minh,1.67
Chung cư,72,,,,,2,,,,,,,09/22/2023,,,,Đường Đào Trí,Phường Phú Thuận,Quận 7,TP Hồ Chí Minh,1.78
